Gene Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
YOR153W,984.193,-1.898,0.252,-7.525,5.26E-14,1.10E-11
YBL003C,315.420,-1.896,0.655,-2.896,0.003782035,0.04452234
YKL197C,17.642,-1.884,0.709,-2.658,0.007859051,0.076256614
YAL044C,110.864,-1.871,0.346,-5.411,6.26E-08,4.85E-06
YDR100W,28.164,-1.865,0.571,-3.268,0.00108351,0.017530826
YBR230C,20.435,-1.864,0.647,-2.883,0.003937392,0.045864224
YDL131W,86.778,-1.846,0.363,-5.087,3.64E-07,2.24E-05
YNR050C,71.194,-1.830,0.405,-4.514,6.35E-06,0.000265232
YMR062C,33.842,-1.822,0.522,-3.488,0.000486652,0.009540367
YER088C,48.699,-1.813,0.443,-4.091,4.29E-05,0.001295706
YDL022W,284.446,-1.782,0.336,-5.306,1.12E-07,8.15E-06
YBR177C,77.518,-1.776,0.375,-4.736,2.18E-06,0.000103476
YPR036W-A,122.306,-1.749,0.332,-5.266,1.39E-07,9.42E-06
YNL115C,18.850,-1.734,0.652,-2.660,0.007820143,0.076032684
YMR038C,105.578,-1.731,0.341,-5.079,3.79E-07,2.30E-05
YJR137C,51.649,-1.729,0.431,-4.015,5.95E-05,0.001680887
YDR122W,35.817,-1.724,0.492,-3.501,0.000463066,0.009190519
YOR043W,26.641,-1.721,0.569,-3.024,0.002497305,0.033504352
YOR321W,32.446,-1.718,0.524,-3.281,0.001035497,0.017149967
YLR299W,27.134,-1.712,0.554,-3.091,0.001994308,0.028007779
YPL250C,22.845,-1.702,0.590,-2.883,0.003942314,0.045864224
YJL172W,190.280,-1.693,0.304,-5.573,2.51E-08,2.11E-06
YOL126C,43.986,-1.668,0.455,-3.665,0.000247569,0.005689341
YFR030W,37.321,-1.667,0.506,-3.295,0.000982513,0.016442549
YLR432W,545.214,-1.654,0.255,-6.491,8.50E-11,1.10E-08
YKL100C,39.789,-1.653,0.485,-3.410,0.000648854,0.011894824
YDR516C,74.095,-1.651,0.384,-4.300,1.71E-05,0.000604152
YDR043C,28.007,-1.629,0.551,-2.956,0.003118029,0.038498435
YJL200C,59.719,-1.626,0.417,-3.898,9.70E-05,0.002545699
YDL046W,104.098,-1.616,0.363,-4.448,8.66E-06,0.000340963
YER014W,24.548,-1.608,0.569,-2.824,0.004740614,0.052463519
YDR225W,396.398,-1.600,0.362,-4.420,9.89E-06,0.000371016
YPL206C,27.572,-1.591,0.571,-2.788,0.005310512,0.057969069
YOR347C,32.178,-1.586,0.521,-3.041,0.002355792,0.03214451
YAL005C,1921.940,-1.576,0.271,-5.824,5.75E-09,5.53E-07
YGR136W,57.653,-1.570,0.438,-3.588,0.000332985,0.007014582
YHR037W,65.407,-1.568,0.395,-3.965,7.33E-05,0.001965924
YEL021W,56.509,-1.565,0.425,-3.686,0.000227458,0.005303314
YPR098C,30.385,-1.559,0.555,-2.811,0.004945767,0.054482845
YHR161C,24.529,-1.555,0.572,-2.717,0.006585356,0.066813265
YNL098C,86.930,-1.547,0.361,-4.280,1.87E-05,0.000640414
YBR093C,366.924,-1.536,0.282,-5.444,5.22E-08,4.18E-06
YPR154W,35.079,-1.531,0.492,-3.115,0.001837491,0.026423557
YGL037C,158.922,-1.526,0.306,-4.980,6.34E-07,3.63E-05
YCR004C,186.895,-1.524,0.336,-4.536,5.72E-06,0.000241108
YOR316C,27.526,-1.522,0.567,-2.684,0.007266189,0.072255701
YAL022C,40.142,-1.519,0.466,-3.260,0.001115198,0.017795004
YJL055W,24.858,-1.519,0.585,-2.597,0.009398663,0.086313155
YGR130C,68.147,-1.494,0.396,-3.774,0.000160789,0.00400139
YDR234W,66.067,-1.493,0.405,-3.685,0.000228965,0.005312659
YNR067C,146.958,-1.489,0.317,-4.699,2.62E-06,0.000120794
YER062C,82.693,-1.486,0.371,-4.007,6.14E-05,0.001708569
YLR231C,28.783,-1.471,0.541,-2.717,0.006593689,0.066813265
YJR104C,475.807,-1.469,0.355,-4.134,3.56E-05,0.001104164
YDL179W,34.406,-1.467,0.507,-2.892,0.00382963,0.044972401
YCR061W,60.749,-1.460,0.412,-3.547,0.000390056,0.007961478
YFL010C,96.877,-1.456,0.358,-4.068,4.74E-05,0.001405987
YKL142W,51.968,-1.456,0.441,-3.303,0.000957276,0.016189432
YNL212W,43.984,-1.455,0.453,-3.208,0.001335763,0.020695715
YBR139W,65.876,-1.452,0.398,-3.648,0.000264421,0.006019016
YGL028C,104.282,-1.443,0.356,-4.053,5.06E-05,0.001490618
YFR053C,139.004,-1.441,0.340,-4.241,2.23E-05,0.000737288
YOL130W,32.273,-1.426,0.515,-2.767,0.005660356,0.060189943
YDR497C,150.482,-1.416,0.318,-4.450,8.60E-06,0.000340963
YJR109C,156.592,-1.397,0.360,-3.878,0.00010532,0.002693859
YIL124W,61.774,-1.390,0.399,-3.484,0.000493944,0.009637379
YPL154C,368.552,-1.386,0.263,-5.277,1.31E-07,9.15E-06
YDR178W,42.126,-1.383,0.485,-2.854,0.00432039,0.049172596
YKR066C,125.663,-1.373,0.404,-3.396,0.000683673,0.012344669
YGR192C,26596.393,-1.370,0.264,-5.201,1.99E-07,1.29E-05
YBR126C,143.272,-1.361,0.350,-3.884,0.000102622,0.002649972
YFR047C,42.637,-1.359,0.455,-2.984,0.002841923,0.035976899
YGL189C,1085.387,-1.356,0.264,-5.136,2.80E-07,1.77E-05
YDR032C,164.660,-1.355,0.313,-4.322,1.55E-05,0.000549992
YDL237W,46.849,-1.338,0.467,-2.867,0.004146774,0.047648218
YOR124C,39.922,-1.335,0.486,-2.747,0.006015368,0.062401321
YPL091W,158.982,-1.330,0.310,-4.295,1.74E-05,0.000607001
YKL164C,666.136,-1.321,0.327,-4.038,5.38E-05,0.001562228
YBR010W,520.690,-1.312,0.349,-3.760,0.000169731,0.004159271
YBR162C,452.198,-1.309,0.314,-4.167,3.08E-05,0.00098098
YGR161C,32.534,-1.309,0.509,-2.572,0.010115704,0.090814445
YNL066W,133.928,-1.305,0.348,-3.754,0.000173937,0.004230426
YMR086W,37.585,-1.296,0.491,-2.641,0.008272985,0.07881553
YGR260W,74.409,-1.294,0.375,-3.450,0.000560314,0.010557337
YLR354C,450.474,-1.294,0.281,-4.598,4.27E-06,0.000183225
YDL125C,104.767,-1.287,0.367,-3.505,0.000456457,0.009096939
YJL151C,45.544,-1.280,0.445,-2.874,0.004047265,0.046840999
YCR088W,294.583,-1.273,0.297,-4.280,1.87E-05,0.000640414
YJR044C,41.681,-1.268,0.456,-2.779,0.005452239,0.058979967
YOL151W,110.853,-1.261,0.339,-3.717,0.000201873,0.004847988
YLR459W,39.119,-1.257,0.480,-2.621,0.008760312,0.081859495
YBL050W,54.314,-1.253,0.488,-2.569,0.010196961,0.091373145
YGR037C,74.373,-1.250,0.403,-3.097,0.001956792,0.027885233
YCR069W,57.917,-1.246,0.413,-3.014,0.002579138,0.034000816
YBR035C,67.155,-1.246,0.391,-3.188,0.001434375,0.022010546
YKL215C,57.728,-1.232,0.408,-3.018,0.00254059,0.03380181
YLL026W,314.691,-1.225,0.278,-4.406,1.05E-05,0.000388651
YBR056W,43.387,-1.221,0.463,-2.639,0.008308512,0.078865182
YER026C,104.958,-1.209,0.370,-3.266,0.001092437,0.017530826
YPR149W,404.183,-1.206,0.258,-4.671,3.00E-06,0.000135909
YIL051C,261.292,-1.199,0.291,-4.113,3.90E-05,0.001199864
YEL071W,411.570,-1.194,0.269,-4.437,9.13E-06,0.000355172
YDR297W,70.269,-1.191,0.406,-2.931,0.003374547,0.040826063
YKL157W,212.108,-1.189,0.295,-4.033,5.51E-05,0.001584081
YGL213C,46.897,-1.186,0.459,-2.585,0.009747485,0.08816793
YDR510W,69.600,-1.185,0.428,-2.772,0.005576907,0.059923684
YMR027W,80.872,-1.177,0.363,-3.244,0.001179791,0.018701447
YHR009C,55.516,-1.168,0.412,-2.831,0.004645864,0.05189322
YBR222C,70.236,-1.168,0.389,-3.005,0.002658292,0.034507509
YOR142W,117.462,-1.163,0.333,-3.491,0.000480703,0.009462357
YCR011C,108.758,-1.150,0.334,-3.445,0.000571093,0.010673003
YOR099W,195.427,-1.137,0.315,-3.609,0.000307557,0.006654029
YPR091C,44.053,-1.137,0.449,-2.533,0.011321296,0.097975109
YML070W,126.075,-1.131,0.345,-3.274,0.001058788,0.017356171
YOR176W,74.494,-1.127,0.380,-2.964,0.003039193,0.037718976
YOR136W,327.399,-1.126,0.282,-3.988,6.66E-05,0.001817042
YDL128W,58.040,-1.126,0.410,-2.747,0.00601026,0.062401321
YPL004C,328.749,-1.126,0.303,-3.715,0.000203256,0.004856919
YGR086C,572.335,-1.120,0.279,-4.020,5.83E-05,0.001666228
YKL210W,560.873,-1.104,0.277,-3.990,6.62E-05,0.001817042
YJL130C,1061.495,-1.088,0.308,-3.536,0.000405787,0.008167466
YDR033W,998.753,-1.060,0.256,-4.146,3.38E-05,0.001062001
YMR295C,108.277,-1.057,0.345,-3.064,0.002181099,0.029930912
YNL037C,226.385,-1.056,0.281,-3.753,0.000174396,0.004230426
YLR027C,284.210,-1.054,0.291,-3.619,0.000295902,0.006583158
YDR513W,110.612,-1.053,0.334,-3.152,0.001620804,0.024403516
YHL003C,67.603,-1.034,0.386,-2.679,0.007374498,0.073072038
YDR055W,178.369,-1.033,0.326,-3.172,0.001514146,0.023087119
YFR024C-A,96.027,-1.029,0.358,-2.871,0.00409792,0.047199778
YKL035W,299.647,-1.028,0.284,-3.616,0.00029906,0.006583158
YNL327W,283.825,-1.010,0.289,-3.493,0.000476756,0.009423296
YEL027W,688.472,-0.993,0.318,-3.125,0.001776047,0.025771467
YGL026C,422.664,-0.985,0.283,-3.483,0.000495614,0.009637379
YLR043C,157.623,-0.984,0.308,-3.198,0.001384024,0.021305987
YDR388W,143.493,-0.964,0.332,-2.904,0.003687084,0.043805979
YML035C,102.198,-0.948,0.345,-2.745,0.006049533,0.062620493
YPL262W,169.279,-0.942,0.331,-2.849,0.004381863,0.049637001
YGL077C,78.912,-0.941,0.367,-2.563,0.010368287,0.092578485
YOR086C,118.713,-0.932,0.328,-2.839,0.004525604,0.050786158
YER177W,838.225,-0.930,0.270,-3.450,0.000560508,0.010557337
YCR012W,11992.495,-0.929,0.281,-3.312,0.000927393,0.015795272
YLR420W,113.374,-0.926,0.358,-2.588,0.009657279,0.087516811
YLR113W,88.483,-0.922,0.353,-2.614,0.008954168,0.082864875
YOL004W,158.387,-0.922,0.306,-3.010,0.00260996,0.034064239
YPL135W,106.282,-0.921,0.350,-2.629,0.008571444,0.080564867
YNL071W,361.934,-0.906,0.301,-3.011,0.002602428,0.034058477
YIL053W,1286.131,-0.902,0.251,-3.590,0.000330403,0.006997355
YOR323C,194.305,-0.895,0.297,-3.011,0.002600464,0.034058477
YOR247W,267.668,-0.895,0.322,-2.777,0.005479272,0.0591392
YDR074W,117.727,-0.885,0.326,-2.712,0.006679915,0.067402587
YFL018C,196.725,-0.877,0.292,-3.003,0.00267411,0.034619276
YOR209C,116.864,-0.874,0.328,-2.664,0.007718269,0.075500704
YER090W,123.750,-0.872,0.336,-2.595,0.009469438,0.086631826
YDR353W,352.080,-0.864,0.297,-2.907,0.003648536,0.043483666
YJL174W,120.272,-0.863,0.326,-2.645,0.008177301,0.078238199
YGL200C,161.909,-0.861,0.305,-2.826,0.004708424,0.052227627
YHR174W,32634.055,-0.860,0.298,-2.891,0.003843055,0.045019984
YIL125W,176.882,-0.859,0.309,-2.779,0.005448811,0.058979967
YBR196C,3180.652,-0.854,0.262,-3.253,0.001141432,0.018153303
YGR209C,195.198,-0.853,0.313,-2.726,0.006409546,0.065500108
YGL012W,306.178,-0.849,0.280,-3.028,0.002464889,0.033348906
YJR139C,716.685,-0.846,0.275,-3.072,0.002129566,0.029476381
YML086C,142.445,-0.846,0.326,-2.592,0.009529779,0.086852994
YER055C,253.600,-0.841,0.323,-2.605,0.009174388,0.08473959
YNL322C,188.905,-0.832,0.328,-2.538,0.01114365,0.097137839
YGL253W,1308.556,-0.828,0.243,-3.399,0.000675808,0.012248708
YJL078C,204.451,-0.825,0.323,-2.554,0.010652441,0.094572409
YJL020C,148.319,-0.817,0.321,-2.544,0.010944958,0.09645621
YBR221C,348.279,-0.816,0.270,-3.021,0.002520248,0.033717971
YJR148W,300.609,-0.814,0.275,-2.961,0.003067132,0.037967613
YER086W,221.286,-0.799,0.291,-2.750,0.005967323,0.062171475
YKL216W,339.560,-0.799,0.281,-2.845,0.004439929,0.050176424
YML078W,145.835,-0.789,0.311,-2.540,0.011079983,0.096893127
YER125W,170.736,-0.785,0.305,-2.573,0.010089221,0.090746308
YGR124W,703.995,-0.781,0.249,-3.137,0.001707192,0.025229672
YDL066W,362.713,-0.774,0.284,-2.727,0.006384404,0.065382287
YER178W,477.040,-0.772,0.260,-2.972,0.002961291,0.036943062
YDR170C,237.291,-0.772,0.304,-2.542,0.011037704,0.096741041
YER091C,405.525,-0.734,0.270,-2.714,0.006642965,0.067170868
YGR204W,438.378,-0.732,0.259,-2.828,0.004685158,0.052089849
YDR135C,213.782,-0.731,0.285,-2.563,0.010370024,0.092578485
YKR001C,253.999,-0.708,0.278,-2.542,0.011021955,0.096741041
YDR158W,450.622,-0.702,0.265,-2.656,0.007909538,0.076437644
YBR286W,777.564,-0.656,0.250,-2.626,0.008645613,0.080945187
YBR127C,797.361,-0.654,0.247,-2.642,0.008242161,0.078701989
YAL038W,15927.696,-0.645,0.244,-2.640,0.008286871,0.07881553
YEL054C,823.508,0.645,0.253,2.545,0.010922957,0.096439269
YHR007C,676.254,0.666,0.261,2.554,0.010638674,0.094572409
YHR010W,947.972,0.727,0.269,2.703,0.006871569,0.068902188
YNL112W,311.545,0.728,0.287,2.540,0.011095403,0.096893127
YLR344W,372.583,0.732,0.265,2.767,0.005655519,0.060189943
YGR175C,509.678,0.740,0.275,2.689,0.007159454,0.071490344
YHR190W,292.287,0.750,0.277,2.706,0.006815211,0.0686236
YBR084W,292.969,0.755,0.273,2.761,0.005758861,0.060524745
YEL040W,349.573,0.817,0.266,3.074,0.002109466,0.029367433
YNL132W,217.471,0.837,0.302,2.766,0.005668765,0.060189943
YGL049C,130.354,0.852,0.336,2.537,0.011179853,0.097276877
YLR355C,2036.618,0.853,0.292,2.920,0.003499665,0.042233397
YDR194C,137.024,0.854,0.320,2.672,0.007540195,0.07421221
YOL077C,127.431,0.867,0.330,2.627,0.008623482,0.080895668
YMR235C,231.683,0.877,0.285,3.072,0.002127878,0.029476381
YMR015C,245.000,0.892,0.282,3.159,0.001581555,0.023887443
YDR060W,183.889,0.894,0.327,2.729,0.00635944,0.065265796
YNL281W,106.213,0.896,0.342,2.619,0.008808431,0.081990109
YDR324C,115.525,0.903,0.341,2.650,0.008043484,0.077265707
YMR202W,402.491,0.906,0.262,3.462,0.000536138,0.010300287
YER001W,169.882,0.914,0.311,2.941,0.003268063,0.039940219
YMR049C,169.442,0.924,0.307,3.013,0.002583864,0.034000816
YGL078C,153.153,0.928,0.325,2.857,0.004277088,0.048795375
YLR222C,115.132,0.930,0.336,2.764,0.005714473,0.060189943
YKR093W,536.296,0.937,0.312,3.002,0.002685515,0.034641499
YOL021C,113.044,0.937,0.343,2.734,0.006259398,0.064376639
YOR272W,127.798,0.938,0.337,2.785,0.005347794,0.058243663
YGL187C,95.443,0.947,0.354,2.673,0.007514275,0.074108962
YMR290C,185.133,0.956,0.322,2.966,0.00301472,0.037512175
YDL086W,87.518,0.967,0.371,2.604,0.009220549,0.08500249
YDR471W,430.768,0.969,0.266,3.638,0.000274528,0.006219611
YLR002C,80.056,0.987,0.377,2.620,0.00879487,0.081990109
YJL198W,91.704,0.988,0.363,2.723,0.006470523,0.065949495
YNL244C,118.094,0.988,0.357,2.764,0.005714364,0.060189943
YBR034C,136.887,0.992,0.321,3.091,0.001991968,0.028007779
YKR056W,76.386,0.993,0.385,2.575,0.010027846,0.090363495
YMR243C,296.868,0.993,0.274,3.620,0.000294229,0.006583158
YKL016C,106.656,1.006,0.349,2.883,0.003943769,0.045864224
YNL061W,177.197,1.008,0.309,3.266,0.001091076,0.017530826
YLR172C,148.091,1.010,0.319,3.168,0.001533698,0.023311243
YKR081C,101.306,1.011,0.355,2.850,0.004366708,0.049582271
YOR206W,170.573,1.026,0.328,3.127,0.001767548,0.025725852
YHR051W,88.033,1.029,0.378,2.722,0.006480983,0.065949495
YGL001C,164.939,1.032,0.316,3.265,0.001094992,0.017530826
YHR208W,284.480,1.034,0.286,3.616,0.000299709,0.006583158
YDL051W,155.367,1.042,0.313,3.328,0.000875282,0.015014215
YDR232W,175.757,1.044,0.316,3.300,0.000967183,0.016242584
YNL248C,172.921,1.045,0.316,3.309,0.000936227,0.015889389
YER073W,93.631,1.045,0.360,2.901,0.003716999,0.043972279
YDR496C,146.426,1.057,0.323,3.277,0.001050602,0.017280963
YOR312C,1073.925,1.058,0.239,4.436,9.17E-06,0.000355172
YDL031W,108.588,1.061,0.354,2.995,0.002745956,0.035264237
YLR401C,65.734,1.075,0.414,2.598,0.009385432,0.086313155
YNL220W,229.422,1.076,0.301,3.571,0.000355101,0.007415433
YBL064C,69.458,1.077,0.394,2.735,0.006243584,0.064351786
YGL111W,77.477,1.079,0.380,2.838,0.004546116,0.050897425
YDR153C,62.895,1.085,0.413,2.629,0.008566783,0.080564867
YGR014W,117.258,1.090,0.349,3.128,0.001761269,0.025725852
YDR398W,99.775,1.101,0.362,3.044,0.002333165,0.031926472
YOR360C,61.438,1.103,0.411,2.686,0.007230789,0.072052866
